id;latitude;longitude;genera_plant;genera_plan_ver;sp_plant;author_plant;sp_plant_ver;author_plant_ver;subfamily;genera_floralvisitor;genera_floralvisitor_ver;sp_floralvisitor;author_floralvisitor;sp_floralvisitor_ver;author_floralvisitor_ver;pollinator_group;bodypolendeposition;behaviour;relativefrequency
1;-20.75;-42.92;Geissomeria;Aphelandra;schottiana;Ness;schottiana;(Ness) Profice;Trochilinae;Amazilia;Amazilia;fimbriata;Gmelin;fimbriata;(Gmelin, 1788);hummingbird;NA;NA;0.02
2;-20.75;-42.92;Geissomeria;Aphelandra;schottiana;Ness;schottiana;(Ness) Profice;Phaethornithinae;Phaethornis;Phaethornis;pretrei;Lesson & DeLattre;pretrei;(Lesson & DeLattre, 1839);hummingbird;NA;NA;0.02
3;-20.75;-42.92;Geissomeria;Aphelandra;schottiana;Ness;schottiana;(Ness) Profice;Phaethornithinae;Phaethornis;Phaethornis;ruber;Linnaeus;ruber;(Linnaeus, 1758);hummingbird;NA;NA;0.06
4;-20.75;-42.92;Geissomeria;Aphelandra;schottiana;Ness;schottiana;(Ness) Profice;Phaethornithinae;Phaethornis;Phaethornis;squalidus;Temminck;squalidus;(Temminck, 1822);hummingbird;NA;NA;0.26
5;-20.75;-42.92;Geissomeria;Aphelandra;schottiana;Ness;schottiana;(Ness) Profice;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;NA;0.65
6;-20.75;-42.92;Corymborkis;Corymborkis;flava;(Sw.) Kuntze;flava;(Sw.) Kuntze;Trochilinae;Chlorostilbon;Chlorostilbon;aureoventris;d'Orbigny & Lafresnaye;lucidus;(Shaw, 1812);hummingbird;NA;NA;0.25
7;-20.75;-42.92;Corymborkis;Corymborkis;flava;(Sw.) Kuntze;flava;(Sw.) Kuntze;Phaethornithinae;Phaethornis;Phaethornis;squalidus;Temminck;squalidus;(Temminck, 1822);hummingbird;NA;NA;0.75
8;-20.75;-42.92;Fridericia;Fridericia;speciosa;Mart.;speciosa;Mart.;Trochilinae;Calliphlox;Calliphlox;amethystina;Boddaert;amethystina;(Boddaer, 1783);hummingbird;NA;NA;0.44
9;-20.75;-42.92;Fridericia;Fridericia;speciosa;Mart.;speciosa;Mart.;Trochilinae;Chlorostilbon;Chlorostilbon;aureoventris;d'Orbigny & Lafresnaye;lucidus;(Shaw, 1812);hummingbird;NA;NA;0.22
10;-20.75;-42.92;Fridericia;Fridericia;speciosa;Mart.;speciosa;Mart.;Phaethornithinae;Phaethornis;Phaethornis;squalidus;Temminck;squalidus;(Temminck, 1822);hummingbird;NA;NA;0.33
11;-20.75;-42.92;Heliconia;Heliconia;cf. simulans;Lane;cf. angusta;NA;Phaethornithinae;Phaethornis;Phaethornis;ruber;Linnaeus;ruber;(Linnaeus, 1758);hummingbird;NA;NA;0.63
