id;order;family;genera;species;author;tax_ver;nature_BR;nativa_AF;Cnc_classification;floweringstart_month;floweringperiod_month;plantgrowth;flower_color_1;flower_color_2;flower_shape;odour;anthesis_time;corolla_length_mm;corolla_length_mm_sd;nectar_volume;nectar_volume_uL_SD;nectar_concentration_brix%;nectar_concentration_brix%_SD;observation_time_hour;n_input;;
1;Asparagales;Amaryllidaceae;Hippeastrum;aulicum;(Ker Gawl.) Herb.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;4;4;e;r;NA;f;a;b;54.40;3.10;NA;NA;NA;NA;51.0;3;;
2;Asparagales;Amaryllidaceae;Hippeastrum;glaucescens;(Mart.). Herb.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;10;3;h;r;NA;t;NA;NA;46.65;7.50;24.20;08.07;30.95;0.20;32.5;2;;
3;Asparagales;Amaryllidaceae;Hippeastrum;morelianum;Lem.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;vu;3;9;h;y;r;b;a;d;86.21;5.78;0.62;0.23;16.29;NA;153.0;3;;
4;Asparagales;Amaryllidaceae;Hippeastrum;psittacinum;Herb.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;en;3;6;h;y;r;t;a;d;NA;NA;0.83;0.28;16.69;NA;145.0;1;;
5;Asparagales;Amaryllidaceae;Hippeastrum;striatum;(Lam.) Moore;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;en;NA;NA;h;r;NA;b;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
6;Asparagales;Amaryllidaceae;Hippeastrum;stylosum;Herb.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;N;ne;12;2;h;r;NA;t;NA;b;49.00;2.90;24.25;0.12;15.10;0.10;11.7;1;;
7;Asparagales;Asparagaceae;Dracaena;fragrans;(L.) Ker.-Gawl.;The Plant List;exo;N;NA;6;2;b;r;NA;NA;NA;NA;6.91;0.54;NA;NA;NA;NA;NA;1;;
8;Asparagales;Iridaceae;Crocosmia;crocosmiiflora;(Lemoine) N.E. Br.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;exo;N;ne;10;6;h;r;NA;b;a;d;NA;NA;NA;NA;NA;NA;36.0;1;;
9;Asparagales;Orchidaceae;Aspidogyne;longicornu;(Cong.) Garay;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;NA;NA;h;w;NA;s;p;NA;23.00;NA;NA;NA;NA;NA;120.0;1;;
10;Asparagales;Orchidaceae;Cattleya;cernua;(Lindl.) Van den Berg;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;NA;NA;e;r;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
11;Asparagales;Orchidaceae;Cattleya;coccinea;Lindl.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;8;3;e;NA;NA;f;a;NA;50.00;NA;0.00;0.00;NA;NA;178.0;1;;
12;Asparagales;Orchidaceae;Corymborkis;flava;(Sw.) Kuntze;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;1;4;h;NA;NA;t;NA;NA;NA;NA;NA;NA;NA;NA;17.1;2;;
13;Asparagales;Orchidaceae;Elleanthus;brasiliensis;(Lindl.) Rchb.f.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;3;e;w;r;t;a;b;09.01;0.74;0.17;0.19;20.86;4.66;64.0;3;;
14;Asparagales;Orchidaceae;Elleanthus;crinipes;Rchb.f.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;3;e;w;NA;t;a;NA;12.00;NA;0.04;0.03;20.41;7.34;12.0;1;;
15;Asparagales;Orchidaceae;Epidendrum;cinnabarinum;Salzm.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;NA;NA;e;r;NA;t;NA;d;NA;NA;NA;NA;NA;NA;NA;1;;
16;Asparagales;Orchidaceae;Rodriguezia;bahiensis;Rchb.f.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;3;3;e;w;NA;f;p;n;41.80;NA;0.02;NA;16.56;NA;NA;1;;
17;Asparagales;Orchidaceae;Sacoila;lanceolata;(Aubl.) Garay;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;9;6;h;r;w;t;NA;NA;19.65;1.60;2.47;0.49;23.40;4.95;95.5;5;;
18;Asparagales;Orchidaceae;Stanhopea;insignis;Frost ex Hook.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;dd;1;2;e;NA;NA;NA;p;NA;NA;NA;NA;NA;NA;NA;NA;1;;
19;Asparagales;Orchidaceae;Stanhopea;lietzei;(Regel) Schltr.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;1;2;e;NA;NA;NA;p;NA;NA;NA;NA;NA;NA;NA;NA;1;;
20;Asparagales;Xanthorrhoeaceae;Phormium;tenax;J.R.Forst. & G.Forst.;The Plant List;exo;N;NA;NA;NA;h;r;NA;NA;NA;NA;29;NA;NA;NA;14.5;NA;NA;1;;
21;Asterales;Asteraceae;Mutisia;campanulata;Less.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;4;9;l;r;NA;h;NA;NA;NA;NA;NA;NA;NA;NA;8.0;1;;
22;Asterales;Asteraceae;Mutisia;coccinea;A. St.-Hil.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;6;4;l;r;NA;h;NA;NA;42.90;1.40;2.12;0.47;22.90;0.90;42.3;3;;
23;Asterales;Asteraceae;Mutisia;speciosa;Aiton ex Hook;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;l;r;NA;h;a;b;35.74;1.69;01.06;0.29;22.31;1.38;104.7;8;;
24;Asterales;Asteraceae;Piptocarpha;notata;(Less.) Baker;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;NA;NA;b;w;NA;NA;NA;NA;6.50;NA;NA;NA;NA;NA;NA;1;;
25;Asterales;Asteraceae;Stifftia;chrysantha;J.C.Mikan;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;tr;r;NA;h;NA;NA;30.16;0.97;NA;NA;13.50;1.50;16.8;3;;
26;Asterales;Asteraceae;Stifftia;fruticosa;(Vell.) D.J.N.Hind & Semir;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;vu;NA;NA;b;r;NA;h;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;;
27;Asterales;Asteraceae;Vernonanthura;polyanthes;(Spreng.) Vega & Dematteis;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;2;2;b;r;NA;d;a;d;NA;NA;NA;NA;NA;NA;36.0;1;;
28;Asterales;Campanulaceae;Centropogon;cornutus;(L.) Druce;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;10;b;r;NA;t;a;b;41.89;1.85;08.10;02.06;23.54;2.75;161.0;10;;
29;Asterales;Campanulaceae;Lobelia;fistulosa;Vell.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;12;5;h;r;NA;t;NA;NA;32.10;1.20;07.05;3.37;16.20;3.70;10.0;2;;
30;Asterales;Campanulaceae;Siphocampylus;convolvulaceus;(Cham.) G.Don;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;l;r;NA;t;a;d;34.25;3.50;1.36;NA;11.67;NA;86.0;3;;
31;Asterales;Campanulaceae;Siphocampylus;lauroanus;Handro & M.Kuhlm.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;5;11;h;r;NA;t;a;d;36.80;1.30;0.46;NA;15.00;NA;50.0;2;;
