id_inter;reference_type;citation;reference
1;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
2;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
3;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
4;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
5;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
6;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
7;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
8;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
9;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
10;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
11;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
12;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
13;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
14;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
15;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
16;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
17;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
18;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
19;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
20;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
21;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
22;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
23;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
24;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
25;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
26;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
27;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
28;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
29;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
30;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
31;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
32;a;Abreu & Vieira 2004;Abreu, C. R., and M. F. Vieira. 2004. Comunidade de beija-flores e seus recursos florais em um fragmento florestal de Viçosa, sudeste brasileiro. Lundiana 5:129–134.
33;t;Agostini 2008;Agostini, K. 2008. Ecologia da reprodução de duas espécies de Mucuna (Leguminosae, Faboideae, Phaseoleae): embriologia, citogenetica e variabilidade genética - do litoral norte de São Paulo. Tese de Doutorado, Universidade Estadual de Campinas, São Paulo, Brasil.
34;a;Agostini et al. 2006;Agostini, K., M. Sazima, and I. Sazima. 2006. Bird pollination of explosive flowers while foraging for nectar and caterpillars. Biotropica 38:674–678.
35;a;Agostini et al. 2006;Agostini, K., M. Sazima, and I. Sazima. 2006. Bird pollination of explosive flowers while foraging for nectar and caterpillars. Biotropica 38:674–678.
36;a;Agostini et al. 2006;Agostini, K., M. Sazima, and I. Sazima. 2006. Bird pollination of explosive flowers while foraging for nectar and caterpillars. Biotropica 38:674–678.
37;a;Agostini et al. 2006;Agostini, K., M. Sazima, and I. Sazima. 2006. Bird pollination of explosive flowers while foraging for nectar and caterpillars. Biotropica 38:674–678.
38;a;Almeida & Alves 2000;Almeida, E. and M. A. S. Alves. 2000. Fenologia de Psychotria nuda e P. brasiliensis (Rubiaceae) em uma área de Floresta Atlântica no sudeste do Brasil. Acta Botanica Brasilica 14:335–346.
39;a;Almeida & Alves 2000;Almeida, E. and M. A. S. Alves. 2000. Fenologia de Psychotria nuda e P. brasiliensis (Rubiaceae) em uma área de Floresta Atlântica no sudeste do Brasil. Acta Botanica Brasilica 14:335–346.
40;a;Almeida & Alves 2003;Almeida, E. and M. A. S. Alves. 2003. Comportamento de aves nectarívoras em Erythrina speciosa Andrews (Leguminosae-Papilionoidae) em uma área de Floresta Atlântica, Ilha Grande, Rio de Janeiro. Revista de Etologia 5:15–21.
41;a;Almeida & Alves 2003;Almeida, E. and M. A. S. Alves. 2003. Comportamento de aves nectarívoras em Erythrina speciosa Andrews (Leguminosae-Papilionoidae) em uma área de Floresta Atlântica, Ilha Grande, Rio de Janeiro. Revista de Etologia 5:15–21.
42;a;Almeida & Alves 2003;Almeida, E. and M. A. S. Alves. 2003. Comportamento de aves nectarívoras em Erythrina speciosa Andrews (Leguminosae-Papilionoidae) em uma área de Floresta Atlântica, Ilha Grande, Rio de Janeiro. Revista de Etologia 5:15–21.
43;a;Almeida & Alves 2003;Almeida, E. and M. A. S. Alves. 2003. Comportamento de aves nectarívoras em Erythrina speciosa Andrews (Leguminosae-Papilionoidae) em uma área de Floresta Atlântica, Ilha Grande, Rio de Janeiro. Revista de Etologia 5:15–21.
44;a;Almeida & Alves 2003;Almeida, E. and M. A. S. Alves. 2003. Comportamento de aves nectarívoras em Erythrina speciosa Andrews (Leguminosae-Papilionoidae) em uma área de Floresta Atlântica, Ilha Grande, Rio de Janeiro. Revista de Etologia 5:15–21.
45;a;Almeida & Alves 2003;Almeida, E. and M. A. S. Alves. 2003. Comportamento de aves nectarívoras em Erythrina speciosa Andrews (Leguminosae-Papilionoidae) em uma área de Floresta Atlântica, Ilha Grande, Rio de Janeiro. Revista de Etologia 5:15–21.
46;a;Almeida & Alves 2003;Almeida, E. and M. A. S. Alves. 2003. Comportamento de aves nectarívoras em Erythrina speciosa Andrews (Leguminosae-Papilionoidae) em uma área de Floresta Atlântica, Ilha Grande, Rio de Janeiro. Revista de Etologia 5:15–21.
47;a;Almeida et al. 2004;Almeida, E. M., A. Storni, P. D. Ritter, and M. A. S. Alves. 2004. Floral visitors of Tillandsia stricta Sol. (Bromeliaceae) at Restinga of Jurubatiba, Macaé, Rio de Janeiro, Brazil. Vidalia 2:30–35.
48;bc;Alves et al. 2000;Alves, M. A. S., C. F. D. da Rocha, M. V. Sluys, and H. de G. Bergallo. 2000. Guilda de beija-flores polinizadores de quatro espécies de Bromeliaceae de Mata Atlântica da Ilha Grande, RJ, Brasil: composição e taxa de visitação. Pages 171–185 in M. A. S. Alves, J. M. C. Cardoso, M. V. Sluys, H. de G. Bergallo, and C. F. D. da Rocha, editors. A Ornitologia no Brasil: Pesquisa e Atual Perspectivas. EDUERJ, Rio de Janeiro.
49;bc;Alves et al. 2000;Alves, M. A. S., C. F. D. da Rocha, M. V. Sluys, and H. de G. Bergallo. 2000. Guilda de beija-flores polinizadores de quatro espécies de Bromeliaceae de Mata Atlântica da Ilha Grande, RJ, Brasil: composição e taxa de visitação. Pages 171–185 in M. A. S. Alves, J. M. C. Cardoso, M. V. Sluys, H. de G. Bergallo, and C. F. D. da Rocha, editors. A Ornitologia no Brasil: Pesquisa e Atual Perspectivas. EDUERJ, Rio de Janeiro.
